x,name,county,state,Notes,Type,Alternate,Date,Latitude (N),Longitude (W),,,
catta,Cattawissa,,Pennsylvania,,placeName,"Cattawissy, Catawissa, Catawessey",,40.9525,76.4603,,,
cagna,Caughnawaga,,New York,,placeName,"Cagnawago, Fonda",,42.95181,74.390551,,,
caven,Cavendish,,Vermont,,placeName,,,,,,,
cayug1,Cayuga,,New York,,placeName,,,42.91886,76.72637,,,
cayuc,Cayuga Creek,,New York,,geogName,,,,,,,
cayug,Cayuga Lake,,New York,,geogName,,,42.70776,76.72234,,,
ceres,Ceres,,New York,,placeName,"King's settlement, Cerestown, Francis King's Settlement",,41.9995,78.2689,,,
chadd,Chadds Ford,,Pennsylvania,,placeName,,,,,,,
chapp,Chappaqua,,New York,,placeName,Shappaqua,,41.15954,73.76485,,,
chara,Charanton,,France,,placeName,,,,,,,
charl,Charleston,,Virginia?,,placeName,,,,,,,
charl2,Charleston,,New York,,placeName,Charlestown,,,,,,
chaut,Chautauque Lake,,New York,,geogName,,,42.18517,79.431,,,
chelt,Cheltenham,,Pennsylvania,,placeName,,,40.06094,75.09406,,,
chemu,Chemung River,,New York and Pennsylvania,"Mouth is at Susquehanna River, Source is in Painted Post, NY",geogName,Shomonga Creek,,41.92381,76.517715,,,
chena,Chenango,,New York,,placeName,Shenang,,42.1058,75.532,,,
chval,Cherry Valley,,New York,,placeName,,,42.7956,74.7532,,,
chesab,Chesapeake Bay,,,,geogName,,,,,,,
chesh,Cheshire County,,New Hampshire,,placeName,Cheshiere,,,,,,
chest,Chester ,,New York,,placeName,,,41.3626,74.2713,,,
chest1,Chester ,,Pennsylvania,,placeName,,,39.84956,73.35575,,,
chestc,Chester County,,Pennsylvania,,placeName,,,,,,,
chesf,Chesterfield,,New Jersey,,placeName,,,40.120242,74.653491,,,
chehi,Chestnut Hill,,,,placeName,,,,,,,
cheri,Chestnut Ridge,,Pennsylvania,,geogName,,,,,,,
cheri1,Chestnut Ridge Meeting House,,NY,now extinct,placeName,,,,,,,
chica,Chickago,,Illinois,,placeName,,,,,,,
chile,Chilecothe,,,,placeName,,,,,,,
chill,Chillicothe,,Ohio,,placeName,Chilicothe,,,,,,
chill,Chillisquaque Creek,,Pennsylvania,"Mouth is at West Branch Susquehanna River, Runs 20 miles",geogName,"Chilesquaque Creek, Chilisquagus",,40.93417,76.859515,,,
chipp1,Chippewa,,,,placeName,,,44.49447,76.8306,,,
chipp,Chippewa River,,Canada,Mouth is NE corner of Lake Superior,geogName,"Chippaway, Chippeway",,46.927735,84.437442,,,
chiqu,Chiques Creek,,Pennsylvania,,geogName,"Big Chiques, Chiquesalunga, Chickisalango",,40.12248,76.45806,,,
cinci,Cincinnata,,,,placeName,,,,,,,
clark,Clark Creek,,Pennsylvania,Mouth is Susquehanna River on W edge of Dauphin County,geogName,Clarks Creek,,40.3701,76.96107,,,
clave,Claverick Creek,,,,geogName,,,,,,,
clearc,Clear Creek,,,,geogName,,,,,,,
cleve,Cleveland,,Ohio,,placeName,,,,,,,
clint,Clinton,,New York?,,placeName,,,,,,,
coalb,Coalbrookdale,,England,,placeName,,,,,,,
coatc,Coats's Camp,,,may have been a joke,placeName,,,,,,,
codor,Codorus Creek,,Pennsylvania,,geogName,,,39.74504,76.8314,,,
coeym,Coeymans,,New York,"Albany County, NY",placeName,"Coyeman, Cojemans, Quemanstown, Coeyman's patent",,42.2826,73.4732,,,
cohoc,Cohocton River,,New York,"Flows 58 miles SSE until it feeds into the Chemung River below Painted Post, NY",geogName,,,42.56602,77.536045,,,
coho1,Cohorst,,Vermont,Cohorse,placeName,,,,,,,?? Not sure if person or place ??
crun1,Cold Run,,,,geogName,,,,,,,
colds,Cold Spring,,New York,In Putnam County,placeName,,,41.42,73.9546,,,
colum,Columbia,,,12 miles from Lancaster,placeName,,,,,,,
conan,Conandarque,,,,placeName,,,,,,,
conal,Conandarque Lake,,,,geogName,,,,,,,
conco,Concord,,,,placeName,,,,,,,
cones,Conescotago,,,,placeName,"Coniscotago, Conishadaga",,,,,,
cones2,Conestoga,,,,placeName,Conestogoe,,,,,,
concr,Conewago Creek,,Pennsylvania,,geogName,"Connowongo, Conewango",,,"80 miles Long, stretches from York, PA to Franklin Township, PA",,,
conmo,Conewago Mountains,,Pennsylvania,"Northern York  County, PA",geogName,"Connowaga, Conowogo",,40.0467,76.858,,,
conew,Conewango,,New York,,placeName,,,42.238,79.031,,,
conis,Conishadaga,,,,placeName,,,,,,,
connt,Connecticut,,Connecticut,,placeName,,,41.6,72.7,,,
conntr,Connecticut River,,,,geogName,,,,,,,
conne,Connellsville,,Pennsylvania,"Fayette County, PA",placeName,Conalds-Ville,,40.058,79.3524,,,
conne1,Connelstown,,,,placeName,"Possibly, McConnellstown, PA",,,,,,
conoc,Conococheague Creek,,Pennsylvania,"Runs 80 miles, originates above Chamersburg, PA and ends near Williamsport, MD with the Potomac River",geogName,Conogocheak,,39.3602,77.4942,,,
conod,Conodoguinet Creek,,Pennsylvania,104 miles long. Water divide between Conodoguinet Creek and Conococheague Creek separates Hagerstown Valley and Cumberland Valley,geogName,,,40.1617,76.5449,,,
conol,Conoley's Tavern,,New York,,placeName,,,,,,,
conyc,Conyconeys,,,stream,geogName,,,,,,,
coope,Cooper River,,New Jersey,"16 miles long, tributary of Delaware River",geogName,"Coopers Creek, Cooper Creek",,39.925,75.0701,,,
coopt,Cooperstown,,New York,,placeName,,,42.7,74.9243,,,
cores,Core Sound,,North Carolina,"East of Sealevel, NC",geogName,,,34.849,76.3434,,,
cornp,Cornplanters Village,Warren,Pennsylvania,western bank of the Allegheny River (about three miles (5 km) below the southern boundary of New York state),placeName,"Jenuchshadago , Jeneocatego, Cornplanter's Settlement, Cornplanter Tract, Gyonǫhsade:gęh;Genusshadega",,41.837781 ,79.003006,,,
corog,Coroga Creek,Montgomery,New York,,geogName,Carago Creek,,,,,,
cortun,Cortunewaga,,,,placeName,,,,,,,
cofer,Coryells Ferry,,New Jersey,,placeName,"Karels Ferry, Curruls Ferry",,40.3642,74.9513,,,
cowan,Cowanesque,,Pennsylvania,"River, 41 miles long Crosses from PA to NY to join Tioga River",geogName,,,41.9432,77.7075,,,
cowas,Cowaselon Creek,,New York,,geogName,,,,,,,
cowni,cownisky,,,,,,,,,,,
coxs,Coxsackie,,New York,,,,,,,,,
crans,Cranston,,Rhode Island,,,,,,,,,
creek,Creek Meeting House,,New York,,placeName,,,41.83355,73.762078,,,
cres,Cresaptown,,,,placeName,formerly Cresapsburg,,,,,,
crook,Crooked Lake,,New York,Now known as Keuka lake,geogName,,,42.492914,77.142764,,,
cross,Cross Lake,,New York,,geogName,,,,,,,
crosw,Croswick's,,New Jersey (west),near a meeting-house and school,placeName,,,,,,,
croto,Croton River,,New York,,geogName,,,41.190475,73.87342,,,
croval1,Croton Valley,,New York,,,,,,,,,
cumb,Cumberland,,,,placeName,,,,,,,
cusse,Cussewago,,Pennsylvania,"In Crawford County, PA",placeName,"Casawaga, Meadville",,41.48,80.1559,,,
cuyah,Cuyahoga River,,Ohio,,geogName,Cayahoga,,,,,,
danby,Danby,,Vermont,in Rutland County,placeName,,,43.22,73.3,,,
danve,Danvers,,Massachusetts,,placeName,,,,,,,
danv,Danville,Steuben County,New York,Perhaps Genesee?,,,,,,,,
darby,Darby,,Pennsylvania,In Delaware County,placeName,,,39.9184,75.259,,,
dayt,Dayton,,Ohio,,placeName,,,39.4534,84.113,,,
delap,De-la-Panse river,,,,geogName,,,,,,,
deeps,Deep Spring,,,,geogName,,,,,,,
delaware,Delaware,,,,placeName,,,,,,,
delab,Delaware Bay,,,,geogName,,,,,,,
delco,Delaware County,,Pennsylvania,,placeName,,,39.92,75.4,,,
delaw,Delaware River,,,Runs 419 miles,geogName,,,,,,,
denm,Denmark,,,,placeName,,,,,,,
dennc,Dennis' Creek,,,,geogName,,,,,,,
denn,Dennis' Station,,,,placeName,,,,,,,
derby,Derby,,Pennsylvania?,,placeName,same as Darby?,,,,,,
detro,Detroit,,Michigan,,placeName,,,42.1953,83.0245,,,
detror,Detroit River,,Michigan,"Runs 28 miles, is boundary between MI and Ontario, Canada",geogName,,,42.0306,83.0905,,,
digby,Digby,,Canada,,placeName,,,44.62153,65.7575,,,
dinwi,Dinwiddie County,,Virginia,,placeName,,,37.08,77.63,,,
dippe,Dipper Harbour,,Canada,,placeName,,,45.09578,66.431047,,,
dothe,Dotherly's Tavern,,New York?,on the banks of Tawandy Creek,placeName,,,,,,,
doubl,Double Cabin,,Pennsylvania,inn,placeName,,,,,,,
duane,Duanesburg,,New York,,placeName,"Duane's Bush, Douanesburg",,42.76202,74.13374,,,
dubli,Dublin,,Ireland,,placeName,,,,,,,
dubuq,Dubuque,,,,placeName,,,,,,,
duchc,Duchess County,,New York,,placeName,,,,,,,
duckc,Duck Creek,,,,geogName,,,,,,,
duckt,Ducktrap,,Maine,,placeName,,,44.29535,69.0078,,,
durha,Durham,,Maine,,placeName,,,43.97247,70.12299,,,
ebrad,East Bradford,,Pennsylvania,,,,,,,,,
eastf,East Fork,,,Little Miami River,,,,,,,,
egreen,East Greenwich,,,,,,,,,,,
ehamp,East Hampton,,New York,,placeName,,,40.5725,72.1156,,,
ehart,East Hartford,,Connecticut,,placeName,,,41.76342,72.612834,,,
eastr,East River,,New York,,geogName,,,,,,,
eastb,Eastbourne,,England,,placeName,,,,,,,
easto,Easton,,New York,"In Washington County, NY",placeName,,,42.9934,73.55234,,,
eston,Easton,,Pennsylvania,,placeName,Eastown,,40.6885,75.2072,,,
eaves,Eavesham,,New Jersey,,placeName,,,,,,,
edgep,Edge Pelek,,New Jersey,,placeName,reference to New Jersey tribe,,,,,,
edin,Edinburgh,,Scotland,,placeName,,,,,,,
eelr,Eel River,,,,geogName,,,,,,,
eggha,Egg Harbor,,New Jersey,,placeName,New Weymouth,,39.37829,74.6,,,
eighmc,Eighteen Mile Creek Harbor,,New York,"On the southern shore of Lake Ontario, today called Olcott",geogName,,,,,,,
elder,Elder's Tavern,,Pennsylvania,"Somewhere near Stony Creek, Paxton, PA",geogName,,,,,,,
eldri,Eldridge's Tavern,,New York?,near Elklands,placeName,,,,,,,
eliza,Elizabethtown,,Pennsylvania,,placeName,Elisabeth Town,,40.15287,76.60274,,,
elkri,Elk Ridge,,Maryland,,placeName,Elkridge,,39.2126,76.71358,,,
elkla,Elklands,,New York?,,placeName,,,,,,,
ellic,Ellicott's Mills,,,,placeName,,,,,,,
engl,England,,,,placeName,,,,,,,
eppin,Epping,,New Hampshire,,placeName,,,,,,,
erie,Erie,,Pennsylvania,,placeName,,,,,,,
eriec,Erie Canal,,,,geogName,Grand Canal,,,,,,
esopu,Esopus ,,New York,,placeName,Eusopus,,41.8279,73.9651,,,
esocr,Esopus Creek,,New York,"Runs 65 miles, Source is Winnisook Lake and mouth is Hudson River",geogName,,,42.417,73.5545,,,
euro,Europe,,,,placeName,,,,,,,
evesh,Evesham,,New Jersey,,placeName,Evesham Township,,39.856677,74.90081,,,
exete,Exeter,,Pennsylvania,,placeName,,,41.1932,75.491,,,
faili,Failing's Inn,,,,placeName,,,,,,,
falls,Falls,,Pennsylvania,,placeName,"Falls Township, Fallsington",,40.1036,74.494,,,
ohiof,Falls of Ohio,,Kentucky,,geogName,,,,,,,
