x,name,county,state,Notes,Type,Alternate,Date,Latitude (N),Longitude (W),,,
patte,Patterson,,New York,,,,,,,,,
pattc,Patterson's Creek,,,,geogName,,,,,,,
pauli,Paulins Kill (River),,New Jersey,"42 Miles long from Fredon Township, Sussex County to Knowlton Township, Warren County",geogName,Pawlinskill,,41.09012,74.772295,,,
paulu,Paulus Hook,,New Jersey,,placeName,,,,,,,
paxto,Paxton Creek,,Pennsylvania,,geogName,"Paxten, Paxtang",,40.330556,76.8327,,,
peach,Peach Lake,,New York,,placeName,Peach Pond,,41.367595,73.577904,,,
peaks,Peak's Hole,,England,,,,,,,,,
pearl,Pearl Street,,,,,,,,,,,
peche,Peche Island,,Michigan,,geogname,Pearl Island,,,,,,
pelh,Pelham,,Canada,,,,,,,,,
pelha,Pelham township,,North Carolina,There is also a Pelham Township in Canada,placeName,,,36.50715,79.447886,,,
penns,Pennsylvania,,,,placeName,Pensylvania,,41,77.5,,,
penob,Penobscot,,Maine,,placeName,,,44.46452,68.71114,,,
penob2,Penobscot Bay,,Maine,,geogName,,,44.4073,68.88565,,,
pensa,Pensacola,,Florida,,placeName,,,,,,,
peque,Pequest River,,New Jersey,,geogName,,,40.839212,75.039625,,,
perki,Perkiomen,,Pennsylvania,,geogName,"Perkiming, Perkcoming",,,,,,
perkri,Perkiomen River?,,,,geogName,Perkioming,,,,,,
petec,Peter's Camp,,Pennsylvania,,placeName,Blossburg,,41.679519,77.063857,,,
petem,Peters Mountain,,Pennsylvania,,geogName,,,,,,,
peter,Petersburg,,New Jersey,,,,,,,,,
phila,Philadelphia,,Pennsylvania,,placeName,,,39.952,75.1447,,,
philc,Philadelphia Country,,Pennsylvania,,placeName,,,,,,,
pigeo,Pigeon Creek,,Pennsylvania,,geogName,Pidgeon's creek,,40.53374,75.93032,,,
pikec,Pike Creek,,,,,,,,,,,
piles,Pilesgrove,,New Jersey,,placeName,,,39.65314,75.314644,,,
pinec,Pine Creek,,Pennsylvania,,placeName,Pinecreek,,41.15923,79.05865,,,
piney,Piney Woods Meeting,,North Carolina,,placeName,,,36.272295,76.558383,,,
pipec,Pipe Creek,,Maryland,,,,,,,,,
piqua,Piqua,,Ohio,,,,,40.851,84.1453,,,
piquap,Piqua Plains,,,,geogName,,,,,,,
pisca,Piscattaway,,Virginia?,,,,,,,,,
pitts,Pittsburgh,,Pennsylvania,,placeName,"Pitts-Burgh, Pittsburg",,40.440625,79.995886,,,
pitts1,Pittstown,,New Jersey,,placeName,Pitts Town,,40.58287,74.958495,,,
pitts2,Pittstown,,New York,,placeName,,,42.83508,73.485114,,,
plai,Plainfield,,New Jersey,,,,,,,,,
pleas,Pleasant River,,Maine,,geogName,,,45.342554,69.04534,,,
plumo,Plum-Orchard,,,place to dine,placeName,,,,,,,
plums,Plumstead,,Pennsylvania,,placeName,,,40.38406,75.119511,,,
plymo1,Plymouth,,Pennsylvania,,placeName,,,41.24036,75.944643,,,
plymo,Plymouth Meetinghouse,,Pennsylvania,,placeName,Plymoth Meeting house,,40.102854,75.280312,,,
poriv,Po River,,,,geogName,,,,,,,
point,Point Abino,,Canada,,placeName,,,,,,,
prais,Point Raisin,,Michigan,near mouth of Raisin River,placeName,,,,,,,
ponti,Pontiac,,Michigan,,placeName,,,,,,,
porre,Porren's tavern,,New York,,placeName,,,,,,,
pambo,Port Amboy,,,,,,,,,,,
proya,Port Royal,,Virginia,on the Rappahanock River,placeName,,,,,,,
portt,Port Tobacco ,,Virginia,near Alexandria,,,,,,,,
paupr,Port-Au-Prince,,Haiti,,placeName,,,,,,,
port,Portage,,,on the Little River,placeName,,,,,,,
portu,Portugal,,,,,,,,,,,
postt,Post Town,,,,,,,,,,,
potawc,Potawatomie Creek,,,,,,,,,,,
potor,Potomac River,,,,geogName,"Patowmack, Potowmack",,,,,,
pottc,Potter County,Potter County,Pennsylvania,,,,,,,,,
pfiel,Potter's Field,,,,,,,,,,,
potts,Pottsgrove,,Pennsylvania,,placeName,Potts Grove,,40.26482,75.61185,,,
pottt,Pottstown,,Pennsylvania,,placeName,Potts-Town,,40.245374,75.64963,,,
pough,Poughkeepsie,,New York,,placeName,Pocepsey,,41.70037,73.92097,,,
poweltav,Powel's Tavern,,,,,,,,,,,
powel1,Powell   ,,,,,,,,,,,
powel,Powell Creek,,Pennsylvania,"16.5 Miles long from Carsonville, PA to the Clarks Ferry Bridge in Duncannon, PA",geogName,,,40.42901,76.923283,,,
prair,Prairie du Cheine,,,,,,,,,,,
presc,Prescott,,"Ontario, Canada",,placeName,,,,,,,
presq,Presque-Isle,,Pennsylvania,,placeName,,,42.163114,80.101172,,,
presq1,Presqueile,,,,,,,,,,,
prince,Prince town,,Pennsylvania?,,,,,,,,,
prinbay,Prince's Bay,,,,,,,,,,,
princeton,Princeton,,New Jersey,,placeName,,,,,,,
provi2,Providence,Saratoga,New York,,placeName,,,,,,,
provi,Providence,,Rhode Island,,,,,,,,,
purch,Purchase Meeting House,,New York,,,Purchace,,41.065817,73.718499,,,
putib,Put-in-Bay,,,,,,,,,,,
quebe,Quebec,,Canada,,placeName,,,,,,,
queen,Queenstown,,,,placeName,,,,,,,
quinc,Quince's Wharf,,,,,,,,,,,
radno,Radnor,,,,,,,,,,,
rahwa,Rahway,,New Jersey,,placeName,Rahaway,,40.60816,74.27765,,,
raisr,Raisin River,,Michigan,,,Grape River,,,,,,
ralei,Raleigh,,North Carolina,,placeName,Rawleigh,,35.77959,78.638179,,,
randt,Randallstown,,,,,,,,,,,
rando,Randolph,,,,placeName,,,,,,,
rappa,Rappahannock river,,,,,,,,,,,
rarit,Raritan River,,New Jersey,"30 Miles long from Bridgewater, NJ to Raritan Bay",geogName,Rariton,,40.54195,74.514341,,,
readi,Reading,,Pennsylvania,,placeName,,,40.33565,75.926875,,,
redho,Red Hook Wharf,,New York,"on the Hudson, south of Hudson",geogName,,,,,,,
redriv,Red River,,,,,,,,,,,
redst1,Redstone,,Pennsylvania,,placeName,,,,,,,
redst,Redstone Creek,,Pennsylvania,"28 Miles long from Chestnut Ridge to Brownsville, PA",,,,40.033464,79.868556,,,
renss,Rensselaer County,,New York,,placeName,,,,,,,
redof,Restone Old Fort,,Pennsylvania,,placeName,Old Fort,,,,,,
rhode,Rhode Island,,,,,,,,,,,
richs,Rich Square,,North Carolina,,placename,,,36.274044,77.284412,,,
richt,Rich's tavern,,,Now known as Kepler's,placeName,,,,,,,
richl,Richland,,Pennsylvania,,placename,,,40.357222,76.257222,,,
richm2,Richmond,,Indiana,,,,,,,,,
richm,Richmond,,Virginia,,,,,,,,,
ridgeva,Ridge,,Virginia,Also known as Apple Pie  Ridge. Located about 3 miles northwest of present Winchester VA.,placename,,,,,,,
lecas,river Le Cas,,,,,,,,,,,
rangr,river Range,,,,,,,,,,,
rouger,River Rouge,,,"This may be the 127 mile river in Michigan (42.63225, 83.17632)",geogName,"Roosh, Rushe",,,,,,
stlar,River St. Lawrence,,"New York, Canada",744 miles long from Lake Ontario to Gulf of St. Lawrence/Atlantic Ocean,geogName,,,44.704046,75.506287,,,
roano,Roanoke,,Virginia,,placeName,,,37.16,79.56,,,
roari,Roaring Creek,,Pennsylvania,"21 miles long from Roaring Creek Township to Susquehanna River near Danville, PA",placeName,,,40.93436,76.524636,,,
roarv,Roaring Creek Valley,,Pennsylvania,,,,,,,,,
robin,Robinson,,Pennsylvania,,placeName,,,40.450346,80.336729,,,
roche,Roche de Bout,,Ohio,limestone formation,geogname,Rochede Bout,,,,,,
rockc,Rockingham County,,New Hampshire,,placeName,,,,,,,
rockf,Rocky Fork,,,,geogname,,,,,,,
rockm,Rocky Mountains,,,,,,,,,,,
rome,Rome,,New York,,placeName,,,,,,,
rome2,Rome,,Italy,,,,,,,,,
rondo,Rondout Creek,,New York,"63 miles long from Rocky Mountain in Olive, NY to Hudson River in Kingston, NY",geogname,Rosendell/Rosendale,,41.900424,74.462564,,,
rushr,Rushe River,,,,,,,,,,,
sadd,Saddle,,,on the Little River,geogFeat,,,,,,,
scroi,Saint Croix River,,Maine/Canada,71 miles long from Chiputneticook Lakes to Passamaquoddy Bay,geogname,,,45.585212,67.50481,,,
salem2,Salem,,Iowa,,,,,,,,,
salem3,Salem,,Massachusetts,,placeName,,,,,,,
salem,Salem,,New Jersey,,placeName,,,39.57178,75.467142,,,
salin,Salina,,New York,,,,,,,,,
saltc,Salt Creek,,,,,,,,,,,
sand,Sandusky,,Ohio,,,Sanduskey,,41.2648,82.4233,,,
sandu,Sandusky,,New York,,placeName,,,42.4959,78.38446,,,
sandb,Sandusky Bay,,Ohio,,geogName,Lake Sandusky,,,,,,
sandr,Sandusky River,,Ohio,,geogName,,,,,,,
sandw,Sandwich,,Maine,,placeName,,,43.79087,71.4105,,,
sandw2,Sandwich,,Upper Canada,"Later Canada West, now Ontario. ",placeName,,,,,,,
sandy,Sandy Creek,,Pennsylvania,,geogname,,,41.48069,80.227833,,,
,Sandy Ridge,,,has a light house,,,,,,,,
sands,Sandy Spring,,,,,,,,,,,
sandh,Sandy-Hook,,,,,Sandyhook,,,,,,
sarat,Saratoga ,,New York,,placeName,,,43.04485,73.630073,,,
savmo,Savage Mountains,,Pennsylvania,,,Savage Mountain,,39.5311,78.441,,,
scawy,Scawyace,,New York,Cayuga village,placeName,Long Falls,,,,,,
schag,Schaghticoke,,New York,,placeName,"Scatecook, Scatacook",,42.90008,73.58539,,,
schen,Schenectady ,,New York,,placeName,"Schenectida, Schenacktada",,42.8142,73.9396,,,
schoh,Schoharie Creek,,New York,"93 miles long from the foot oh Indian Head Mountain to the Mohawk River near Tribes Hill, NY",geogname,,,42.9309,74.27809,,,
schuy,Schuyler,,New York,,placeName,Scyler town,,43.096111,75.098056,,,
schri,Schuylkill River,,Pennsylvania,"135 miles long from Tuscarora Springs, PA to the Delaware River near the Philadelphia Navy Yard",geogname,Schuilkill,,39.94824,75.185022,,,
sciot,Scioto River,,Ohio,"231 miles long from New Hampshire, OH to Ohio River near Portsmouth, OH",geogname,,,38.76111,82.99626,,,
scipi,Scipio ,,New York,,placeName,,,42.7875,76.5719,,,
scot,Scotland,,,,,,,,,,,
seabr,Seabrook,,,,placeName,,,,,,,
seaco,Seacock Meeting House,,North Carolina,,placeName,"Gravelly Run, Burley, Surry, Sussex, and Upper Monthly Meeting",,37.13741461,77.5266405,,,
senef,Seneca Falls,Seneca,New York,,geogname,,,,,,,
senec,Seneca Lake,Seneca,New York,,geogname,,,42.6827,76.90668,,,
sener,Seneca River,,New York,,geogName,,,,,,,
srang,Seven Ranges,,Ohio,,placeName,,,,,,,
sewec,Sewell's Cabin,,,,placeName,,,,,,,
shamo,Shamokin Creek,,Pennsylvania,"32 miles long, empties into Susquehanna River south of Sunbury, PA",geogName,Shomokin Creek,,40.782621,76.45699,,,
sharo,Sharon,,Vermont,,placeName,,,43.785234,72.45417,,,
sheep,Sheepscot River,,Maine,"66 miles long. Starts at Sheepscot Pond near Palermo, ME and empties into Atlantic Ocean near Southport, ME",geogname,Sheepsgut,,44.264917,69.539165,,,
sheff,Sheffield,,England,,placeName,,,,,,,
shenr,Shenandoah River,,,,geogname,,,,,,,
shenv,Shenandoah Valley,,,,geogName,,,,,,,
shipp,Shippensburg,,Pennsylvania,,placeName,Shippensburgh,,40.050645,77.520265,,,
shoe,Shoemakers Town,,,,,,,,,,,
shortc,Short Creek,,Ohio,,,,,,,,,
short1,Short Hill,,Virginia,,geogname,,,,,,,
short,Short Hills,,Canada,,placeName,,,43.09816,79.28176,,,
shoum,Shoumonge River,,,,,,,,,,,
shrew,Shrewsbury,,NJ,,,,,,,,,
shrop,Shropshire,,England,,,,,,,,,
sidel,Sideling Hill,,Pennsylvania,,geogname,Sidling Hill,,40.009,78.129,,,
sierr,Sierra Leone,,,,placeName,,,,,,,
sings,Sing Sing,,New York,Prison,placeName,,,,,,,
sinnc,Sinnemahoning Creek,Potter County,Pennsylvania,"text refers to Sinnemahoning Creek second-hand, as William Allinson is merely told about it",,,,,,,,
skane,Skaneateles Lake,,New York,,geogname,,,42.865188,76.381092,,,
skene,Skenesborough,,New York,,placeName,,,43.550863,73.40315,,,
skerr,Skerries Lights,,,,,,,,,,,
slipp,Slippery Rock,,Pennsylvania,large stream,geogName,,,40.954152,80.170176,,,
solsb,Solsbury,,,,placeName,,,,,,,
somse,Somerset,,Massachusetts,,placeName,Summerset,,,,,,
somsc,Somerset County,,Pennsylvania,,placeName,,,,,,,
somer,Somerton,,Virginia,,placeName,,,36.56821,76.751346,,,
sbranm,South Branch Mountain,,,,geogName,,,,,,,
scaro,South Carolina,,South Carolina,,placeName,,,,,,,
souss,South Sixth Street,,,,,,,,,,,
south,Southampton,,New Jersey,,placeName,Southhampton,,39.92743,74.72658,,,
souwa,Southwark,,England,,placeName,,,,,,,
spraf,Spragers Ferry,,New York,,placeName,,,,,,,
spray,Spraykers ferry,,New York,,placeName,,,,,,,
sprmill,Spring Mill Ferry,,Pennsylvania?,,,,,,,,,
spring,Spring Mills,,,near Falmouth?,,,,,,,,
sprin,Springfield,,New Jersey,,placeName,,,40.70169,74.322215,,,
sprin2,Springfield,,Vermont,,placeName,,,,,,,
squas,Squasalow,,,,,,,,,,,
squaw,Squawkie Hill,,New York,,placeName,"Squauhee Hill, Squakee Hill",,42.73866,77.897186,,,
stcha,St. Charles,,,,,,,,,,,
stdav,St. David's Head,,England,,placeName,,,,,,,
stjoh,St. Johns,,,,placeName,,,,,,,
stjos,St. Joseph River,,Michigan,,geogname,,,,,,,
stlou,St. Louis,,,,,,,,,,,
stmar,St. Marys River,,Michigan,,geogname,,,,,,,
stvin,St. Vincennes,,,,,,,,,,,
stanf,Stanford,,,,,,,,,,,
stati,Staten Island,,,,,,,,,,,
staunt,Staunton,,,,,,,,,,,
steph,Stephentown,,New York,,placeName,,,42.54869,73.374,,,
steco,Steuben county,,New York,,placeName,,,42.26,77.39,,,
stillr,Stillwater River,,Ohio,,,,,,,,,
stock,Stockbridge,,New York,,placeName,,,42.9912,75.5993,,,
stock2,Stockbridge,,Massachusetts,,placeName,,,,,,,
stonc2,Stoney Creek,,,The same Stoney Creek as above? Probably Ohio,geogName,,,,,,,
stonb,Stony Brook,,New York,,placeName,,,,,,,
stonc,Stony Creek,,Pennsylvania,,geogName,Stonycreek,,40.303964,78.89086,,,
stony,Stony Point,,New York,,placeName,Stoney Point,,41.22954,73.987085,,,
stras,Strasburg,,Pennsylvania,,placeName,Strawsburgh,,39.98316,76.18412,,,
sudbu,Sudbury,,Massachusetts,,,,,,,,,
suffc,Suffolk Courthouse,,Virginia,,placeName,,,36.729021,76.582223,,,
sugac,Sugar Creek,,New York?,,,,,,,,,
suga,Sugarloaf,,,,geogname,,,,,,,
sunb,Sunbury,,Pennsylvania,"There is also a Sunbury, NC.",placeName,,,40.862585,76.79441,,,
sunny,Sunnyside,,,,,,,,,,,
susqueh,Susquehanna,,Pennsylvania,,placeName,,,41.94361,75.59918,,,
susqu,Susquehanna River,,"Pennsylvania, Maryland, New York","464 miles long from Ostego Lake in Cooperstown, PA to Chesapeake Bay in MD.",geogname,,,39.721316,76.232328,,,
susse1,Sussex,,England,,,,,,,,,
susse,Sussex Courthouse ,,New Jersey,,placeName,,,41.0587,74.7536,,,
sutto,Sutton's Creek,,North Carolina,,geogname,,,36.17308,76.392403,,,
swanc,Swan Creek,,,,,,,,,,,
swans,Swansee,,Massachusetts,,,,,,,,,
swata,Swatara Creek,,Pennsylvania,"72 miles long. Runs from Appalachian Mountains in Schulkill County to the Susquehanna River at Middletown, PA",geogname,,,40.39,76.49866,,,
swede,Sweden,,,,,,,,,,,
sweet,Sweet Arrow Creek,,Pennsylvania,"Could be a different name for Little Swatara Creek, Upper Little Swatara Creek, etc.",geogname,Sweetaraw,,,,,,
switz,Switzerland,,,,placeName,,,,,,,
swope,Swope Creek,,Pennsylvania,Tributary of Little Lehigh Creek in Berks and Lehigh Countries.,geogname,Swabia Creek,,40.523121,75.550425,,,
symon,Symonds Creek,,North Carolina,"Tributary of Matthews Creek South of Elizabeth City, NC.",geogname,,,36.193291,76.23015,,,
maho,t,,,"""branch of the Big Beaver""",geogName,,,,,,,
trock,Table Rock,,,,geogFeat,,,,,,,
tappa,Tappan,,New York,,placeName,,,41.022042,73.94736,,,
tawnc,Tawandy Creek,,New York?,,,,,,,,,
tawna,Tawnawandis,Niagara,New York,,placeName,Tonawanda Reservation. Tawniwandic,,43.068056,78.445,,,
taylt,Taylorstown,,Pennsylvania?,,,,,,,,,
tenmi,Tenmile Creek,,Pennsylvania,There is also a Tenmile Run in Central PA near Miflin Township,geogname,10 mile Creek,,40.073203,80.32053,,,
tenne,Tennessee River,,,,geogname,Cherokee River,,,,,,
thame,Thames River,,Ontario,,geogname,River Latrench,,,,,,
thame2,Thames River,,England,,geogname,,,,,,,
chann,the Channel,,England,,geogName,,,,,,,
glade,the Glades,,Pennsylvania,near Berlin,placeName,,,,,,,
narro,the Narrows,,North Carolina,part of the Pasquotank River,geogName,,,34.753216,76.786047,,,
thomp,Thompsons  ,,New York,,placeName,Thompson,,41.654383,74.663463,,,
three,Three-Rivers Point,,New York,"Junction of Oneida, Seneca, and Oswego rivers",placeName,,,,,,,
ticon,Ticonderoga,,New York,,placeName,,,43.848671,73.423453,,,
timbr,Timber Ridge Mountain,,,,,,,,,,,
tiogp,Tioga Point,,,junction of Shoumonge and Susquehanna,,,,,,,,
tioga,Tioga River,,"New York, Pennsylvania",58 miles long. There is also a Tiogo Township and County in NY. ,geogName,"Tioga Tiver, Chemung River",,42.03009,77.132585,,,
tonne,Tonnewonta,,,"Town of Tonawanda is located at (43.020335, 78.880315)",geogName,Tonawanda,,,,,,
toncr,Tontawonta Creek,,,,,,,,,,,
toxte,Toxteth Park,,England,,,,,,,,,
trent,Trenton,,New Jersey,,placeName,,,40.21705,74.742938,,,
trout,Trout Run,,Pennsylvania,,geogName,,,41.38341,77.053599,,,
troy,Troy,,New York,,placeName,,,42.728412,73.691785,,,
tunes,Tunesassa,,New York,,placeName,"Tunesassah, Tunesasau",,42.158361,78.75,,,
tunec,Tunesassa Creek,,New York,,geogname,Tunesasah Creek,,,,,,
turkr,Turkey River,,,,,,,,,,,
tuscr,Tuscarawas River,,Ohio,,geogname,,,,,,,
tusca1,Tuscarora,,New York,Merge with New Stockbridge?,placeName,,,42.63062,77.869724,,,
tusca,Tuscarora Mountain,,Pennsylvania,,geogName,,,40.241012,77.5971,,,
tusco,Tusco Rocks,,England,,,,,,,,,
tusqu,Tusquiatossy,,,,geogName,,,,,,,
tyrin,Tyringham,,Massachusetts,,placeName,,,42.24592,73.20372,,,
unadi,Unadilla,,New York,,placeName,Unedilly,,42.32536,75.3124,,,
unadr,Unadilla River,,New York,"71 miles long from Utica to Sidney, NY",geogName,Unedilly River,,42.591874,75.32963,,,
uniont,Uniontown,,,,,,,,,,,
uppcanada,Upper Canada,,,,,,,,,,,
ueves,Upper Evesham,,New Jersey,,placeName,,,39.856585,74.90084,,,
usand,Upper Sandusky,,Ohio,,,,,,,,,
utica,Utica,,New York,,placeName,,,43.1009,75.23266,,,
uwch,Uwchlan,Chester,Pennsylvania,,,,,,,,,
valle,Valley,,,,,,,,,,,
vallf,Valley Forge,,,,placeName,,,,,,,
vande,Vandeventer's Tavern,,,near Batavia,,,,,,,,
venan,Venango County,,Pennsylvania,,placeName,Venago County,,,,,,
verdi,Verdigris River,,,,,,,,,,,
vermo,Vermont,,,,placeName,,,,,,,
verno,Vernon,,New York,,,,,,,,,
verona,Verona,,,,,,,,,,,
vince,Vincennes,,,"""French settlement on the Illinois""",,,,,,,,
virgi,Virginia,,,,placeName,,,,,,,
wabas,Wabash River,,,,geogname,Ouabache,,,,,,
wabasu,Wabasu,,,,,,,,,,,
wains,Wainsville,,,,,,,,,,,
walkv,Walk-in-the-Water village,,,,,,,,,,,
walli,Wallingford,Vermont,,,placeName,Wallingsford,,,,,,
wallk,Wallkill River,,"New York, New Jersey","88 miles long from Lake Mohawk in Sparta, NJ to Rondout Creek near Rosendale, NY.",geogName,,,41.10337,74.5886,,,
wapak,Wapakoneta,,Ohio,,,"Wapakonetta, Wapakanetta, Wapakennetta, Waupaukanetta",,40.3433,84.1134,,,
wappi,Wappinger Creek,,New York,"42 miles long from Thompson Pond to the Hudson River in New Hamburg, NY",geogName,Wappings Creek,,41.58887,73.93672,,,
warnt,Warner's Tavern,,,,,,,,,,,
warre,Warren,,Pennsylvania,,placeName,Warrentown,,41.84295,79.14504,,,
warrc,Warren County,,Pennsylvania,,placeName,,,,,,,
warri1,Warrington,,England,,,,,,,,,
warri,Warrington,,Pennsylvania,"There is also a Warrington Township in York County, PA (40.05, 76.5659)",placeName,Warrentown,,40.24917,75.134125,,,
wash,Washington,,DC,,,Washington city,,,,,,
wash2,Washington,,Pennsylvania,,,,,,,,,
washco,Washington County,,New York,,,,,,,,,
washc,Washington County,,Pennsylvania,,,,,,,,,
waterf,Waterford,,,,,,,,,,,
weare,Weare,,New Hampshire,,placeName,"Wore, Wear",,,,,,
wells,Wellsborough,Tioga County,Pennsylvania,Wellsboro,,,,,,,,
westb,West Branch,,Pennsylvania,,geogName,,,41.68054,77.768095,,,
wbran,West Branch Meeting House,,New York,In Dutchess County,placeName,"Branch, Oblong Friends' Meeting House",,41.57933,73.542132,,,
wcana,West Canada Creek,,New York,,geogName,Canada Creek,,,,,,
westc,West Chester,,New York,Westchester,,,,41.09,73.46,,,
wches,West Chester,,Pennsylvania,,,,,,,,,
westf,West Farms,,,,,,,,,,,
wgrove,West Grove,,,,,,,,,,,
whart,West Hartford ,,Connecticut,,placeName,,,41.76208,72.742015,,,
westi,West Indies,,,,,,,,,,,
westl,West Liberty,,?,,,,,,,,,
westp,West Point,,New York,,placeName,Fort Clinton,,41.39148,73.955972,,,
westb,Westbury,,New York,,placeName,,,,,,,
westl,Westland,,Pennsylvania,"There is also a Westland School in MD and Westland, VA",,,,40.27729,80.273116,,,
westm1,Westminister,,England,,,,,,,,,
westm,Westmoreland,,,,,,,,,,,
westo1,Weston,,Connecticut,,,,,,,,,
westo,Westown School,,Pennsylvania,,,,,,,,,
westport,Westport,,Missouri,,,,,,,,,
wheel,Wheeling River,,,,,,,,,,,
wchie,White Chief's Village,,New York,,placeName,,,,,,,
wclay,White Clay Creek,,Delaware,,geogname,,,,,,,
wcree,White Creek,,New York,,placeName,,,42.97008,73.29122,,,
woakp,White Oak Plains,,,,geogName,,,,,,,
whiter,White River,,?Indiana?,,,,,,,,,
white,Whitestown,,New York,,placeName,"Whites Town, White's Town, Whitstown",,43.1382,75.3296,,,
whitew,Whitewater,,,,,,,,,,,
whiti,Whitewood Island,,,,,,,,,,,
wicon,Wiconisco Creek,,Pennsylvania,"46 miles long from Porter Township, PA to Susqehanna River between Lenkerville and Millersburg, PA.",geogName,Wikinisky Creek,,40.56256,76.80706,,,
willc,Will's Creek,,,,,,,,,,,
willi,Williamsburgh,,New York,,placeName,Williamsburg,,40.70812,73.9571,,,
willif,Williamsburgh Farm,,,,,,,,,,,
willi2,Williamsport,,Pennsylvania,,placeName,William's port,,41.24119,77.00108,,,
willm,Willistown Meeting,,Pennsylvania,,placeName,,,39.9887,75.48105,,,
wilmo,Wills' Mountain,,Pennsylvania,,geogName,,,39.84611,78.68194,,,
willst,Willstown,,,,,,,,,,,
wilmi,Wilmington,,Delaware,,placeName,,,39.73907,75.5398,,,
wilm,Wilmington,,Ohio,,,,,,,,,
winch,Winchester,,Virginia,,,,,,,,,
wind1,Windecker,,,,,,,,,,,
windr,Winding Ridge,,,,geogname,,,,,,,
winnel,Winnebago Lake,,Wisconsin,,geogName,,,,,,,
wisco,Wisconsin River,,,,geogname,Oisconsin River,,,,,,
woodc,Wood Creek,,New York,,geogname,,,,,,,
woodb,Woodbury,,New Jersey,,placeName,,,39.83817,75.15268,,,
woodsi,Woodside,,Pennsylvania,near Merion,,,,,,,,
woods,Woodstack,,,,,,,,,,,
wrigh,Wright's Ferry,,Pennsylvania,,placeName,,,40.03737,76.51441,,,
wrigt,Wrightstown,,Pennsylvania,,placeName,,,40.266774,74.98322,,,
yello,Yellow Breeches Creek,,Pennsylvania,56 miles long from Michaux State Forest to Susquehanna River near New Cumberland.,geogName,Minnimingo Creek,,40.15058,77.00696,,,
yello2,Yellow Springs,Chester,Pennsylvania,,,,,,,,,
york3,York,,Pennsylvania,,placeName,,,,,,,
york2,York,,England,,,,,,,,,
york,York,,New York,,placeName,,,42.87107,77.88562,,,
yorki,York Island,,,,,,,,,,,
yorks,Yorkshire,,England,,,,,,,,,
yorkt2,Yorktown,,New York,,,,,,,,,
yorkt,Yorktown,,Pennsylvania,,placeName,"York Town, York",,39.973446,75.153,,,
yough,Youghiogheny River,,Pennsylvania,"134 miles long from Silver Lake to Monongahela River near McKeesport, PA",geogName,"Yoghagena, Yoghogany, Youghiogany, Youghigania",,40.32227,79.84194,,,
youngs,Young Streit,,,,,,,,,,,
zanev,Zane's Ville,,,,,Zanesville,,,,,,
